(category, name, unit, unit_price_ht, unit_price_ttc, initial_stock_quantity, current_stock_quantity, supplier_id),
('Impressions','VALPRIMER','1.000 KG',8.656,10.300, 150, 150, 2),
('Impressions','VALPRIMER','4.000 KG',30.311,36.071, 150, 150, 2),
('Impressions','VALPRIMER','18.000 KG',126.450,150.476, 150, 150, 2),
('Impressions','VALFIX','1.000 KG',8.209,9.769, 150, 150, 2),
('Impressions','VALFIX','4.000 KG',27.744,33.015, 150, 150, 2),
('Impressions','VALFIX','18.000 KG',118.260,140.729, 150, 150, 2),
('Impressions','FISSATIVO 30G','0.800 LT',15.236,18.131, 150, 150, 2),
('Impressions','FISSATIVO 30G','4.000 LT',62.384,74.238, 150, 150, 2),
('Impressions','FISSATIVO 30G','10.000 LT',142.788,169.918, 150, 150, 2),
('FINITIONS','VALMAT','1.000 KG',3.343,3.978, 150, 150, 2),
('FINITIONS','VALMAT','5.000 KG',11.031,13.127, 150, 150, 2),
('FINITIONS','VALMAT','23.000 KG',45.418,54.047, 150, 150, 2),
('FINITIONS','VALMAT','40.000 KG',69.907,83.190, 150, 150, 2),
('FINITIONS','VALTEX','1.000 KG',3.730,4.439, 150, 150, 2),
('FINITIONS','VALTEX','5.000 KG',13.505,16.071, 150, 150, 2),
('FINITIONS','VALTEX','23.000 KG',55.596,66.159, 150, 150, 2),
('FINITIONS','VALTEX','40.000 KG',89.121,106.054, 150, 150, 2),
('FINITIONS','VALBLANC','1.000 KG',4.832,5.750, 150, 150, 2),
('FINITIONS','VALBLANC','5.000 KG',18.132,21.577, 150, 150, 2),
('FINITIONS','VALBLANC','23.000 KG',74.768,88.974, 150, 150, 2),
('FINITIONS','VALBLANC','40.000 KG',124.948,148.688, 150, 150, 2),
('FINITIONS','VALPRO SATINE','4.000 KG',41.639,49.551, 150, 150, 2),
('FINITIONS','VALPRO SATINE','18.000 KG',174.084,207.159, 150, 150, 2),
('FINITIONS','VALPRO MAT','5.000 KG',23.705,28.210, 150, 150, 2),
('FINITIONS','VALPRO MAT','23.000 KG',98.437,117.140, 150, 150, 2),
('FINITIONS','VALPRO MAT','40.000 KG',163.934,195.082, 150, 150, 2),
('FINITIONS','VALTOP','5.000 KG',29.044,34.562, 150, 150, 2),
('FINITIONS','VALTOP','23.000 KG',121.300,144.347, 150, 150, 2),
('FINITIONS','VALTOP','40.000 KG',203.065,241.647, 150, 150, 2),
('FINITIONS','VALIDRO BRILLANT','0.800 KG',16.094,19.152, 150, 150, 2),
('FINITIONS','VALIDRO BRILLANT','4.000 KG',74.645,88.827, 150, 150, 2),
('FINITIONS','VALIDRO BRILLANT','15.000 KG',278.604,331.538, 150, 150, 2),
('FINITIONS','VALIDRO MAT','0.800 KG',14.376,17.107, 150, 150, 2),
('FINITIONS','VALIDRO MAT','4.000 KG',66.051,78.600, 150, 150, 2),
